frame,time,predictor,target,n,pearson,spearman
200,160.0,abs_alignment_velocity_identity,terminal_eta_shape,32,0.06802710336303566,0.3896627565982404
200,160.0,abs_alignment_velocity_identity,terminal_eta_translation,32,-0.005955681130723582,0.18658357771260994
200,160.0,abs_alignment_velocity_direct,terminal_eta_raw,32,0.6051006192081868,0.2104105571847507
200,160.0,abs_alignment_velocity_direct,terminal_eta_shape,32,0.7314523018774406,0.20564516129032256
200,160.0,abs_alignment_velocity_direct,terminal_eta_translation,32,0.5721647591214594,0.2107771260997067
200,160.0,abs_alignment_velocity_geometry,terminal_eta_raw,32,0.7021220500643425,0.10410557184750732
200,160.0,abs_alignment_velocity_geometry,terminal_eta_shape,32,0.838309614220602,0.09127565982404691
200,160.0,abs_alignment_velocity_geometry,terminal_eta_translation,32,0.6656050136228098,0.1158357771260997
250,200.0,abs_displacement_drift_grid_points,terminal_eta_raw,32,0.9106969626127794,0.6777859237536656
250,200.0,abs_displacement_drift_grid_points,terminal_eta_shape,32,0.8700643321603407,0.22727272727272727
250,200.0,abs_displacement_drift_grid_points,terminal_eta_translation,32,0.8899175463596383,0.7232404692082111
250,200.0,eta_raw,terminal_eta_raw,32,1.0,1.0
250,200.0,eta_raw,terminal_eta_shape,32,0.8054284378072941,0.6491935483870966
250,200.0,eta_raw,terminal_eta_translation,32,0.9945897446741011,0.9791055718475072
250,200.0,eta_aligned,terminal_eta_raw,32,0.8054284378072941,0.6491935483870966
250,200.0,eta_aligned,terminal_eta_shape,32,0.9999999999999999,1.0
250,200.0,eta_aligned,terminal_eta_translation,32,0.743161033344607,0.5344574780058651
250,200.0,eta_translation,terminal_eta_raw,32,0.9945897446741011,0.9791055718475072
250,200.0,eta_translation,terminal_eta_shape,32,0.743161033344607,0.5344574780058651
250,200.0,eta_translation,terminal_eta_translation,32,1.0,1.0
250,200.0,q_raw,terminal_eta_raw,32,0.9833752165430966,0.9904692082111435
250,200.0,q_raw,terminal_eta_shape,32,0.7056126896561825,0.6645894428152492
250,200.0,q_raw,terminal_eta_translation,32,0.9892269022523887,0.9681085043988268
250,200.0,q_aligned,terminal_eta_raw,32,0.7510847914801069,0.5912756598240468
250,200.0,q_aligned,terminal_eta_shape,32,0.9646001113244884,0.9541788856304986
250,200.0,q_aligned,terminal_eta_translation,32,0.679139342159244,0.4769061583577712
250,200.0,q_translation,terminal_eta_raw,32,0.9751555424966478,0.9835043988269794
250,200.0,q_translation,terminal_eta_shape,32,0.6600898188840221,0.5872434017595308
250,200.0,q_translation,terminal_eta_translation,32,0.9895847873184558,0.9890029325513194
250,200.0,xi_raw,terminal_eta_raw,32,0.9687678261338131,0.8156158357771259
250,200.0,xi_raw,terminal_eta_shape,32,0.8658759020769234,0.69391495601173
250,200.0,xi_raw,terminal_eta_translation,32,0.9532147582615218,0.7679618768328444
250,200.0,xi_aligned,terminal_eta_raw,32,0.8439961254085698,0.4574780058651026
250,200.0,xi_aligned,terminal_eta_shape,32,0.9671281639624405,0.8233137829912023
